1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,2.39372e+19,2.39372e+19,2.39372e+19,2.39372e+19,2.39372e+19,2.39372e+19,2.39372e+19,2.39372e+19,2.39372e+19,2.39372e+19,1,1
1,1,-1.2028e+22,-1.2028e+22,-1.2028e+22,-1.2028e+22,-1.2028e+22,-1.2028e+22,-1.2028e+22,-1.2028e+22,-1.2028e+22,-1.2028e+22,1,1
1,1,1.60189e+22,1.60189e+22,1.60189e+22,1.60189e+22,1.60189e+22,1.60189e+22,1.60189e+22,1.60189e+22,1.60189e+22,1.60189e+22,1,1
1,1,7.36552e+20,7.36552e+20,7.36552e+20,7.36552e+20,7.36552e+20,7.36552e+20,7.36552e+20,7.36552e+20,7.36552e+20,7.36552e+20,1,1
1,1,9.11938e+20,9.11938e+20,9.11938e+20,9.11938e+20,9.11938e+20,9.11938e+20,9.11938e+20,9.11938e+20,9.11938e+20,9.11938e+20,1,1
1,1,-3.46126e+20,-3.46126e+20,-3.46126e+20,-3.46126e+20,-3.46126e+20,-3.46126e+20,-3.46126e+20,-3.46126e+20,-3.46126e+20,-3.46126e+20,1,1
1,1,3.38393e+18,3.38393e+18,3.38393e+18,3.38393e+18,3.38393e+18,3.38393e+18,3.38393e+18,3.38393e+18,3.38393e+18,3.38393e+18,1,1
1,1,-9.96158e+18,-9.96158e+18,-9.96158e+18,-9.96158e+18,-9.96158e+18,-9.96158e+18,-9.96158e+18,-9.96158e+18,-9.96158e+18,-9.96158e+18,1,1
1,1,-3.37538e+18,-3.37538e+18,-3.37538e+18,-3.37538e+18,-3.37538e+18,-3.37538e+18,-3.37538e+18,-3.37538e+18,-3.37538e+18,-3.37538e+18,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1
