1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,-19.24,6633.54,6.3546e+08,5.27994e+18,3.44345e+38,1.41152e+78,1,1
1,1,-639.04,-3.20109e+07,-2.03038e+17,-1.02895e+37,-3.45761e+76,-4.79028e+155,1,1
1,1,-281092,-5.61781e+14,-1.59459e+34,-3.19968e+73,-2.95743e+152,-inf,1,1
1,1,-3.65807e+10,-1.24462e+29,-7.6776e+67,-2.53286e+146,-1.82991e+304,-nan,1,1
1,1,-4.6438e+20,-4.74835e+57,-1.45713e+135,-1.34226e+292,-nan,-nan,1,1
1,1,-5.97081e+40,-5.64308e+114,-4.43926e+269,-nan,-nan,-nan,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
